1736608235.000,6497416
ObjShowTime,ReactionTime,StimType,Guess,Correct
67520540,68189144,1,1,1
68971380,69291180,2,2,1
69860416,70368036,1,1,1
71698272,72216804,1,1,1
73413072,73782260,3,3,1
74419504,74981780,2,2,1
76242016,76572936,2,2,1
77537200,77988556,3,3,1
78997776,79396064,3,3,1
80329328,80937272,1,1,1
81698532,82153232,3,3,1
83266472,83851604,1,1,1
85075904,85480292,2,2,1
86750504,87126068,2,2,1
88136332,88559964,3,3,1
89875228,90328228,3,3,1
91670488,92079572,2,2,1
92627840,93231188,3,3,1
93805456,94190388,2,2,1
95333604,95703712,3,3,1
96539928,96876840,3,3,1
97945104,98462264,2,2,1
99596512,99954528,2,2,1
100516768,100999828,2,2,1
101875160,102269224,1,1,1
103685620,104163276,1,1,1
105529604,105890688,2,2,1
106863980,107142216,1,2,0
108213544,108937940,3,3,1
110159236,110745120,3,3,1
111659428,111957560,3,3,1
112701864,113024500,3,3,1
114131824,114427520,3,3,1
115861824,116221624,2,2,1
117479956,117848424,2,2,1
118778772,119230140,1,1,1
120462444,120869956,2,2,1
121803312,122110688,2,2,1
122682060,123064616,1,1,1
123813936,124187432,1,1,1
124709760,125004828,1,1,1
126317180,126764488,3,3,1
127357848,127663848,3,3,1
128826176,129349352,1,1,1
130108652,130534328,2,2,1
131703684,132141892,2,2,1
132967216,133304404,2,2,1
134660752,135173488,3,3,1
136010816,136325512,3,3,1
137670844,138304292,2,2,1
139476612,139911236,3,3,1
141010620,141391840,1,1,1
142747200,143143956,1,1,1
144599284,144966292,2,2,1
146330616,146673388,2,2,1
147720724,148249920,1,1,1
149291244,149778888,1,1,1
150919220,151194588,1,1,1
151853944,152324176,3,3,1
152919532,153277308,2,2,1
154545640,154895164,2,2,1
155511492,155834524,2,2,1
156985884,157370228,2,2,1
158221532,158488808,2,2,1
159943204,160227856,1,1,1
160996184,161253504,1,1,1
162116832,162358944,1,1,1
162904248,163344172,2,3,0
163881504,164184492,2,3,0
165403820,165823820,2,2,1
166979180,167246760,2,2,1
168541112,168916660,3,3,1
170185964,170627848,1,1,1
171147176,171622660,1,1,1
172651012,173171408,1,1,1
174409736,174768452,1,1,1
176018772,176500888,3,3,1
177213280,177675372,2,2,1
178367700,178830864,1,1,1
179564192,180002776,3,3,1
180964136,181408080,2,2,1
182089428,182600248,3,3,1
183123576,183640996,2,2,1
185106356,185467332,2,2,1
185989696,186443456,1,1,1
187615792,188349168,1,1,1
189521504,189834916,1,1,1
190672220,191040372,3,2,0
192414696,192983980,3,3,1
194074336,194583224,1,1,1
195249564,195590000,1,1,1
196659300,197051676,1,1,1
197941024,198501920,2,2,1
199866248,200340996,1,1,1
200992328,201337104,1,1,1
202670428,203078064,3,3,1
204248396,204965548,1,1,1
206124872,206551724,2,2,1
207835052,208252388,3,3,1
209633748,210132796,3,3,1
210752120,211251000,1,2,0
212005296,212438080,3,3,1
213414432,213889676,2,2,1
215025012,215426976,2,2,1
216773332,217129856,2,2,1
