trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726180204512.9722,1726180205092.384,3,3,1
2,1726180206497.572,1726180206870.22,2,2,1
3,1726180208234.408,1726180208526.484,2,2,1
4,1726180209738.796,1726180210086.152,2,2,1
5,1726180210769.456,1726180211343.288,1,1,1
6,1726180211897.624,1726180212293.988,1,1,1
7,1726180213018.3,1726180213359.992,3,2,0
8,1726180214593.276,1726180215181.904,1,1,1
9,1726180216007.208,1726180216273.8,1,1,1
10,1726180217177.152,1726180217498.388,3,2,0
11,1726180218479.74,1726180219000.776,3,3,1
12,1726180219549.156,1726180220155.2122,1,1,1
13,1726180221257.544,1726180221530.496,2,2,1
14,1726180222962.856,1726180223332.912,3,3,1
15,1726180223874.272,1726180224386.028,2,2,1
16,1726180225063.404,1726180225517.688,2,2,1
17,1726180226048.048,1726180226433.268,2,2,1
18,1726180227190.596,1726180227660.14,1,1,1
19,1726180228249.4722,1726180228669.492,2,2,1
20,1726180229897.88,1726180230206.4202,2,2,1
21,1726180230746.796,1726180231382.684,3,3,1
22,1726180232657.072,1726180233175.876,1,1,1
23,1726180234662.3,1726180235054.544,2,2,1
24,1726180236170.892,1726180236522.132,1,1,1
25,1726180237696.512,1726180238114.5042,2,2,1
26,1726180238718.864,1726180239110.168,2,2,1
27,1726180240498.52,1726180240768.592,2,2,1
28,1726180241660.952,1726180242006.028,2,2,1
29,1726180243325.404,1726180243723.412,2,2,1
30,1726180244427.772,1726180244897.464,3,3,1
31,1726180245918.828,1726180246371.192,2,2,1
32,1726180247490.544,1726180247871.656,3,3,1
33,1726180249347.988,1726180249655.0242,2,2,1
34,1726180250621.404,1726180250999.02,2,2,1
35,1726180251880.352,1726180252190.444,2,2,1
36,1726180253196.856,1726180253551.224,2,2,1
37,1726180254493.584,1726180254956.172,1,1,1
38,1726180256161.528,1726180256538.02,1,1,1
39,1726180257194.376,1726180257545.716,1,1,1
40,1726180258524.044,1726180258856.772,2,2,1
41,1726180260349.164,1726180260590.452,2,2,1
42,1726180261924.804,1726180262541.38,1,1,1
43,1726180263346.76,1726180263773.228,1,1,1
44,1726180264896.588,1726180265387.8,3,3,1
45,1726180266121.152,1726180266439.444,3,3,1
46,1726180267722.796,1726180268294.216,3,3,1
47,1726180268929.6,1726180269286.268,3,3,1
48,1726180270723.648,1726180271170.924,2,2,1
49,1726180271924.3,1726180272296.568,2,2,1
50,1726180273356.932,1726180273789.388,1,1,1
51,1726180274321.748,1726180274856.5,3,3,1
52,1726180275694.86,1726180276009.84,3,3,1
53,1726180277135.192,1726180277471.016,2,2,1
54,1726180278829.392,1726180279341.396,1,1,1
55,1726180280282.756,1726180280768.82,2,2,1
56,1726180281965.172,1726180282313.216,2,2,1
57,1726180283031.544,1726180283772.732,3,3,1
58,1726180285054.112,1726180285554.48,1,1,1
59,1726180286307.856,1726180286658.252,2,2,1
60,1726180288103.648,1726180288586.14,2,2,1
61,1726180289875.492,1726180290347.216,3,3,1
62,1726180290875.616,1726180291294.408,3,3,1
63,1726180292680.744,1726180293209.068,3,3,1
64,1726180293727.456,1726180294175.464,3,3,1
65,1726180295199.82,1726180295571.3682,2,2,1
66,1726180296231.72,1726180296538.58,3,2,0
67,1726180297136.912,1726180297608.788,2,2,1
68,1726180298774.216,1726180299067.992,2,2,1
69,1726180300197.468,1726180300550.416,1,1,1
70,1726180301969.86,1726180302394.5562,2,2,1
71,1726180303768.996,1726180304179.052,1,1,1
72,1726180304752.492,1726180305281.388,2,2,1
73,1726180306039.804,1726180306442.3162,2,2,1
74,1726180307074.76,1726180307588.256,2,2,1
75,1726180308498.744,1726180308826.204,2,2,1
76,1726180310248.652,1726180310817.796,1,1,1
77,1726180312175.268,1726180312564.892,1,1,1
78,1726180313778.34,1726180314229.304,2,2,1
79,1726180315016.78,1726180315481.756,3,3,1
80,1726180316022.236,1726180316498.156,2,2,1
81,1726180317100.6,1726180317512.364,1,1,1
82,1726180318463.8162,1726180318857.2,2,2,1
83,1726180319749.676,1726180320422.044,3,3,1
84,1726180321488.492,1726180321983.632,1,1,1
85,1726180322848.0762,1726180323295.08,2,2,1
86,1726180323849.552,1726180324289.02,2,2,1
87,1726180325778.4722,1726180326255.292,2,2,1
88,1726180327370.78,1726180327742.124,2,2,1
89,1726180329150.6082,1726180329525.98,2,2,1
90,1726180330159.448,1726180330653.3682,3,1,0
91,1726180331621.844,1726180332294.052,2,3,0
92,1726180332995.496,1726180333394.456,2,2,1
93,1726180334001.908,1726180334304.448,2,2,1
94,1726180335445.864,1726180335775.0762,2,2,1
95,1726180336704.496,1726180337106.0,1,1,1
96,1726180338525.448,1726180339311.452,3,3,1
97,1726180340527.896,1726180341030.448,2,2,1
98,1726180341764.9,1726180342219.428,1,1,1
99,1726180343363.904,1726180343880.04,2,2,1
100,1726180345107.464,1726180345436.352,2,2,1
101,1726180346145.856,1726180346650.1,3,3,1
102,1726180347447.624,1726180347873.1,2,3,0
103,1726180349274.616,1726180349749.896,1,1,1
104,1726180350679.4202,1726180351152.172,2,2,1
105,1726180352313.668,1726180352735.104,3,3,1
106,1726180353631.62,1726180354011.716,2,2,1
