1726155001.000,3402096
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6915068,7494480,3,3,1
2,8899668,9272316,2,2,1
3,10636504,10928580,2,2,1
4,12140892,12488248,2,2,1
5,13171552,13745384,1,1,1
6,14299720,14696084,1,1,1
7,15420396,15762088,3,2,0
8,16995372,17584000,1,1,1
9,18409304,18675896,1,1,1
10,19579248,19900484,3,2,0
11,20881836,21402872,3,3,1
12,21951252,22557308,1,1,1
13,23659640,23932592,2,2,1
14,25364952,25735008,3,3,1
15,26276368,26788124,2,2,1
16,27465500,27919784,2,2,1
17,28450144,28835364,2,2,1
18,29592692,30062236,1,1,1
19,30651568,31071588,2,2,1
20,32299976,32608516,2,2,1
21,33148892,33784780,3,3,1
22,35059168,35577972,1,1,1
23,37064396,37456640,2,2,1
24,38572988,38924228,1,1,1
25,40098608,40516600,2,2,1
26,41120960,41512264,2,2,1
27,42900616,43170688,2,2,1
28,44063048,44408124,2,2,1
29,45727500,46125508,2,2,1
30,46829868,47299560,3,3,1
31,48320924,48773288,2,2,1
32,49892640,50273752,3,3,1
33,51750084,52057120,2,2,1
34,53023500,53401116,2,2,1
35,54282448,54592540,2,2,1
36,55598952,55953320,2,2,1
37,56895680,57358268,1,1,1
38,58563624,58940116,1,1,1
39,59596472,59947812,1,1,1
40,60926140,61258868,2,2,1
41,62751260,62992548,2,2,1
42,64326900,64943476,1,1,1
43,65748856,66175324,1,1,1
44,67298684,67789896,3,3,1
45,68523248,68841540,3,3,1
46,70124892,70696312,3,3,1
47,71331696,71688364,3,3,1
48,73125744,73573020,2,2,1
49,74326396,74698664,2,2,1
50,75759028,76191484,1,1,1
51,76723844,77258596,3,3,1
52,78096956,78411936,3,3,1
53,79537288,79873112,2,2,1
54,81231488,81743492,1,1,1
55,82684852,83170916,2,2,1
56,84367268,84715312,2,2,1
57,85433640,86174828,3,3,1
58,87456208,87956576,1,1,1
59,88709952,89060348,2,2,1
60,90505744,90988236,2,2,1
61,92277588,92749312,3,3,1
62,93277712,93696504,3,3,1
63,95082840,95611164,3,3,1
64,96129552,96577560,3,3,1
65,97601916,97973464,2,2,1
66,98633816,98940676,3,2,0
67,99539008,100010884,2,2,1
68,101176312,101470088,2,2,1
69,102599564,102952512,1,1,1
70,104371956,104796652,2,2,1
71,106171092,106581148,1,1,1
72,107154588,107683484,2,2,1
73,108441900,108844412,2,2,1
74,109476856,109990352,2,2,1
75,110900840,111228300,2,2,1
76,112650748,113219892,1,1,1
77,114577364,114966988,1,1,1
78,116180436,116631400,2,2,1
79,117418876,117883852,3,3,1
80,118424332,118900252,2,2,1
81,119502696,119914460,1,1,1
82,120865912,121259296,2,2,1
83,122151772,122824140,3,3,1
84,123890588,124385728,1,1,1
85,125250172,125697176,2,2,1
86,126251648,126691116,2,2,1
87,128180568,128657388,2,2,1
88,129772876,130144220,2,2,1
89,131552704,131928076,2,2,1
90,132561544,133055464,3,1,0
91,134023940,134696148,2,3,0
92,135397592,135796552,2,2,1
93,136404004,136706544,2,2,1
94,137847960,138177172,2,2,1
95,139106592,139508096,1,1,1
96,140927544,141713548,3,3,1
97,142929992,143432544,2,2,1
98,144166996,144621524,1,1,1
99,145766000,146282136,2,2,1
100,147509560,147838448,2,2,1
101,148547952,149052196,3,3,1
102,149849720,150275196,2,3,0
103,151676712,152151992,1,1,1
104,153081516,153554268,2,2,1
105,154715764,155137200,3,3,1
106,156033716,156413812,2,2,1
