ObjShowTime,ReactionTime,StimType,Guess,Correct
1728328484250.74,1728328484958.336,2,2,1
1728328486347.604,1728328486813.572,2,2,1
1728328487704.784,1728328488055.976,2,2,1
1728328489374.208,1728328489690.428,2,2,1
1728328490395.684,1728328491109.548,3,3,1
1728328492130.784,1728328492720.444,2,2,1
1728328493839.68,1728328494354.464,3,3,1
1728328495831.712,1728328496272.224,2,2,1
1728328497236.436,1728328497833.324,2,2,1
1728328498716.628,1728328499257.14,2,2,1
1728328500261.356,1728328500621.344,2,2,1
1728328501562.556,1728328502036.548,1,1,1
1728328503241.788,1728328503530.064,1,1,1
1728328504186.304,1728328504531.496,1,1,1
1728328505511.76,1728328505942.32,2,2,1
1728328507434.588,1728328508035.032,2,2,1
1728328509369.268,1728328509890.964,1,1,1
1728328510696.224,1728328511251.38,1,1,1
1728328512374.62,1728328513013.244,3,3,1
1728328513746.484,1728328514192.4,3,3,1
1728328515474.612,1728328515872.756,3,3,1
1728328516505.968,1728328516896.508,3,3,1
1728328518331.764,1728328518976.396,2,2,1
1728328519729.612,1728328520124.42,2,2,1
1728328521183.632,1728328521844.704,1,1,1
1728328522376.944,1728328523004.44,3,3,1
1728328523843.704,1728328524344.14,3,3,1
1728328525469.464,1728328526371.964,2,2,1
1728328527730.324,1728328528070.232,1,1,1
1728328529012.588,1728328529885.74,2,2,1
1728328531083.096,1728328531556.124,2,2,1
1728328532274.424,1728328532691.096,3,3,1
1728328533971.42,1728328534420.72,1,2,0
1728328535174.068,1728328535785.528,2,2,1
1728328537229.856,1728328537663.028,2,2,1
1728328538953.432,1728328539597.176,3,3,1
1728328540125.5,1728328540736.272,3,3,1
1728328542123.608,1728328542579.828,3,3,1
1728328543097.156,1728328543497.32,3,3,1
1728328544521.652,1728328545091.472,2,2,1
1728328545751.804,1728328546355.444,3,3,1
1728328546954.772,1728328547311.56,2,2,1
1728328548475.888,1728328548868.732,2,2,1
1728328549996.028,1728328550453.372,1,1,1
1728328551872.708,1728328552464.484,2,2,1
1728328553838.812,1728328554418.376,1,1,1
1728328554992.728,1728328555395.848,2,2,1
1728328556154.148,1728328556537.34,2,2,1
1728328557170.736,1728328557518.296,2,2,1
1728328558428.62,1728328558881.772,2,2,1
1728328560304.092,1728328560895.3,1,1,1
1728328562252.644,1728328562788.888,1,1,1
1728328564002.216,1728328564658.472,2,2,1
1728328565444.796,1728328566128.192,3,3,1
1728328566667.524,1728328567108.148,2,2,1
1728328567711.504,1728328568195.124,1,1,1
1728328569147.476,1728328569868.396,2,2,1
1728328570759.728,1728328571305.032,3,2,0
1728328572371.364,1728328572954.512,1,1,1
1728328573818.84,1728328574360.468,2,2,1
1728328574912.772,1728328575670.672,2,2,1
1728328577161.064,1728328577624.968,2,2,1
1728328578740.3,1728328579250.708,2,2,1
1728328580659.068,1728328580988.384,2,2,1
1728328581621.732,1728328582214.268,3,3,1
1728328583180.572,1728328583884.592,2,2,1
1728328584585.928,1728328585068.872,2,2,1
1728328585676.2,1728328586015.672,2,2,1
1728328587156.976,1728328587492.08,2,2,1
1728328588421.384,1728328588898.82,1,1,1
1728328590318.148,1728328590866.804,3,3,1
1728328592083.132,1728328592389.824,2,2,1
1728328593124.148,1728328593776.548,1,1,1
1728328594918.848,1728328595367.444,2,2,1
1728328596596.836,1728328597066.064,2,2,1
1728328597777.412,1728328598362.732,3,3,1
1728328599159.064,1728328599589.772,2,2,1
1728328600989.072,1728328601585.876,1,1,1
1728328602515.224,1728328603091.488,2,2,1
1728328604253.852,1728328604764.36,3,3,1
1728328605659.684,1728328606308.404,2,1,0
1728328607548.736,1728328608278.396,3,3,1
1728328609102.72,1728328609624.92,3,3,1
1728328610197.248,1728328610808.936,2,2,1
1728328611569.292,1728328611970.156,2,2,1
1728328612504.516,1728328612967.316,1,1,1
1728328613866.644,1728328614299.292,1,1,1
1728328615734.632,1728328616164.776,1,1,1
1728328617264.12,1728328617938.448,3,3,1
1728328618444.804,1728328619008.928,1,1,1
1728328619656.252,1728328620413.836,3,3,1
1728328621914.164,1728328622414.388,3,3,1
1728328623653.744,1728328624018.696,3,3,1
1728328625276.052,1728328625660.416,3,3,1
1728328626759.772,1728328627423.228,3,3,1
1728328628575.536,1728328629282.208,2,2,1
1728328630649.56,1728328631286.812,1,1,1
1728328631955.144,1728328632590.068,3,3,1
1728328633596.372,1728328634259.452,1,1,1
1728328635249.776,1728328636015.984,1,1,1
1728328637108.376,1728328637510.376,1,1,1
1728328638948.676,1728328639588.804,3,3,1
1728328640225.148,1728328640903.66,2,2,1
