ObjShowTime,ReactionTime,StimType,Guess,Correct
1729543609536.26,1729543610019.352,1,1,1
1729543611048.62,1729543611456.804,3,2,0
1729543612259.068,1729543612672.136,3,3,1
1729543613489.384,1729543613918.396,2,2,1
1729543614960.656,1729543615222.26,1,1,1
1729543616612.528,1729543616907.924,3,3,1
1729543617647.164,1729543618150.26,2,2,1
1729543618682.5,1729543619122.12,1,1,1
1729543620058.332,1729543620513.356,2,1,0
1729543621596.636,1729543621957.812,3,2,0
1729543623267.08,1729543623753.864,2,2,1
1729543624701.108,1729543625186.492,2,2,1
1729543626009.752,1729543626676.496,3,3,1
1729543627184.768,1729543627757.62,2,1,0
1729543629222.856,1729543629651.264,2,2,1
1729543631127.524,1729543631628.332,3,3,1
1729543632497.572,1729543633012.616,3,3,1
1729543633628.86,1729543634005.464,3,3,1
1729543635357.768,1729543635842.724,1,1,1
1729543637018.028,1729543637587.052,3,3,1
1729543638124.404,1729543638667.136,3,3,1
1729543639873.46,1729543640335.172,2,1,0
1729543641645.516,1729543642235.38,2,2,1
1729543643536.704,1729543644061.596,1,1,1
1729543644635.924,1729543644993.152,2,2,1
1729543646127.48,1729543646571.916,3,3,1
1729543647573.24,1729543648310.092,2,2,1
1729543649135.42,1729543649534.052,2,2,1
1729543650832.408,1729543651218.784,2,2,1
1729543652569.136,1729543653110.752,3,3,1
1729543654514.056,1729543654964.436,1,1,1
1729543656307.784,1729543656786.148,3,3,1
1729543657674.508,1729543658167.5,1,1,1
1729543659213.852,1729543659686.952,3,3,1
1729543660822.284,1729543661452.656,2,1,0
1729543662473.048,1729543662890.212,2,2,1
1729543664003.532,1729543664489.292,1,1,1
1729543665809.596,1729543666468.072,1,1,1
1729543667153.396,1729543667685.684,3,3,1
1729543668568.032,1729543669301.428,2,2,1
1729543670587.756,1729543670956.4,3,3,1
1729543671506.748,1729543671994.556,2,1,0
1729543672773.88,1729543673178.512,2,2,1
1729543673708.84,1729543674217.504,3,1,0
1729543675187.836,1729543675625.604,1,1,1
1729543676217.964,1729543676788.66,2,2,1
1729543677536.988,1729543677993.256,3,3,1
1729543678991.576,1729543679327.0,2,2,1
1729543680542.368,1729543680946.68,2,2,1
1729543681655.008,1729543682221.528,1,1,1
1729543683260.852,1729543683670.54,3,3,1
1729543684290.868,1729543684845.272,2,2,1
1729543685559.576,1729543686078.232,1,1,1
1729543687580.556,1729543687992.892,2,2,1
1729543688867.224,1729543689416.744,1,1,1
1729543690684.072,1729543691154.548,3,3,1
1729543691780.912,1729543692297.1,1,2,0
1729543693588.428,1729543694199.08,1,1,1
1729543694705.432,1729543695093.076,1,1,1
1729543696271.424,1729543696837.052,3,3,1
1729543697622.38,1729543698082.552,3,3,1
1729543698630.896,1729543699398.484,1,1,1
1729543700545.788,1729543701063.832,2,2,1
1729543701913.196,1729543702421.584,1,1,1
1729543703087.948,1729543703851.844,2,2,1
1729543705120.14,1729543705620.924,1,1,1
1729543707072.276,1729543707580.908,1,1,1
1729543709074.256,1729543709500.764,3,3,1
1729543710006.116,1729543710545.192,2,2,1
1729543711182.548,1729543711588.172,1,1,1
1729543712449.496,1729543713012.4,2,2,1
1729543713739.732,1729543714234.792,3,3,1
1729543714750.144,1729543715309.292,1,1,1
1729543716213.616,1729543716571.76,3,3,1
1729543717253.16,1729543718042.128,3,3,1
1729543719159.496,1729543719709.3,2,1,0
1729543720403.664,1729543720905.472,1,1,1
1729543721595.796,1729543722149.844,3,3,1
1729543723577.172,1729543724128.244,2,2,1
1729543724916.568,1729543725509.368,2,2,1
1729543726167.7,1729543726623.944,2,2,1
1729543727858.296,1729543728338.32,3,3,1
1729543728886.672,1729543729387.284,3,1,0
1729543729890.588,1729543730744.74,2,2,1
1729543731785.064,1729543732264.112,1,1,1
1729543733071.472,1729543733534.752,2,3,0
1729543734344.056,1729543734832.144,2,2,1
1729543735892.484,1729543736347.84,1,1,1
1729543737396.192,1729543737777.192,1,2,0
1729543738945.52,1729543739273.956,1,1,1
1729543739849.252,1729543740279.32,2,2,1
1729543740876.676,1729543741351.692,3,3,1
1729543742275.996,1729543742816.828,1,1,1
1729543743597.192,1729543743964.356,2,2,1
1729543745413.68,1729543745746.252,2,2,1
1729543746726.6,1729543747112.232,1,1,1
1729543748533.548,1729543748934.748,3,3,1
1729543749780.108,1729543750305.976,2,2,1
1729543751701.324,1729543752158.212,3,3,1
1729543753245.54,1729543753795.656,3,2,0
1729543754711.052,1729543755316.436,3,3,1
1729543756386.764,1729543756883.352,2,2,1
1729543758252.708,1729543758625.604,2,2,1
1729543759840.936,1729543760506.296,2,2,1
1729543761877.652,1729543762243.5,1,1,1
1729543763445.824,1729543763799.528,1,1,1
1729543765270.852,1729543765844.408,2,2,1
1729543767266.732,1729543767729.212,3,3,1
1729543768276.544,1729543769013.456,1,1,1
1729543770427.784,1729543770860.728,2,2,1
1729543772289.08,1729543772774.844,1,1,1
1729543773529.196,1729543773999.804,2,2,1
1729543775123.14,1729543775539.828,3,3,1
1729543776812.236,1729543777235.8,3,3,1
