trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725052640510.904,1725052640757.544,3,3,1
2,1725052641640.78,1725052641912.724,3,3,1
3,1725052643293.936,1725052643734.744,2,2,1
4,1725052644378.956,1725052644730.936,3,3,1
5,1725052645834.252,1725052646139.66,1,1,1
6,1725052647405.988,1725052647617.66,1,1,1
7,1725052648835.94,1725052649039.32,1,1,1
9,1725052650748.732,1725052651151.128,1,1,1
10,1725052652485.476,1725052652867.62,3,3,1
11,1725052653422.972,1725052653850.364,1,1,1
12,1725052654520.74,1725052654835.724,2,2,1
14,1725052656891.892,1725052657190.252,2,2,1
15,1725052658399.632,1725052658865.96,3,3,1
16,1725052660139.34,1725052660473.804,2,2,1
19,1725052664102.652,1725052664417.356,1,1,1
20,1725052665044.688,1725052665397.964,2,2,1
22,1725052667433.06,1725052667842.208,3,3,1
23,1725052669022.624,1725052669247.224,3,3,1
24,1725052670478.604,1725052670819.952,1,1,1
25,1725052671545.336,1725052671785.596,3,3,1
26,1725052672313.948,1725052672755.788,2,2,1
27,1725052673464.12,1725052673897.072,2,2,1
28,1725052675136.46,1725052675328.828,3,3,1
30,1725052676820.328,1725052677101.828,1,1,1
31,1725052678399.18,1725052678729.052,3,3,1
32,1725052679881.384,1725052680179.484,1,1,1
33,1725052680828.84,1725052681091.372,3,3,1
34,1725052682029.708,1725052682345.428,1,1,1
35,1725052683551.784,1725052683853.836,1,1,1
36,1725052685305.232,1725052685620.272,1,1,1
38,1725052688885.724,1725052689192.012,2,2,1
39,1725052689947.344,1725052690321.736,1,1,1
40,1725052690910.068,1725052691146.68,2,2,1
42,1725052693376.764,1725052693669.744,1,1,1
43,1725052694544.104,1725052694838.26,3,3,1
44,1725052696038.62,1725052696268.736,2,2,1
45,1725052696996.12,1725052697332.42,3,3,1
46,1725052698239.776,1725052698511.152,3,3,1
48,1725052700394.96,1725052700679.908,3,3,1
49,1725052702158.328,1725052702459.404,1,1,1
51,1725052704469.928,1725052704851.516,3,3,1
52,1725052706027.892,1725052706344.736,1,1,1
53,1725052706880.088,1725052707195.416,2,2,1
54,1725052708634.796,1725052709057.896,2,2,1
55,1725052710189.28,1725052710660.984,2,2,1
56,1725052711821.376,1725052712114.44,1,1,1
57,1725052713079.8,1725052713585.0,3,3,1
58,1725052715046.396,1725052715425.824,1,1,1
59,1725052716449.18,1725052716670.116,2,2,1
60,1725052717499.472,1725052717814.944,1,1,1
61,1725052718937.3,1725052719183.836,3,3,1
62,1725052719965.24,1725052720210.14,3,3,1
63,1725052720910.496,1725052721419.896,2,2,1
64,1725052722221.276,1725052722519.364,2,2,1
65,1725052723390.716,1725052723720.296,1,1,1
66,1725052724487.652,1725052724758.96,2,2,1
67,1725052725772.348,1725052726043.548,2,2,1
68,1725052726966.916,1725052727179.244,2,2,1
69,1725052728620.576,1725052728825.804,2,2,1
70,1725052730130.132,1725052730439.768,3,3,1
71,1725052731602.124,1725052731987.892,2,2,1
72,1725052733031.252,1725052733285.484,2,2,1
73,1725052734384.816,1725052734647.836,3,3,1
74,1725052735739.304,1725052736049.864,3,3,1
75,1725052737208.38,1725052737641.94,1,1,1
76,1725052739006.416,1725052739280.028,1,1,1
77,1725052739871.444,1725052740195.296,2,2,1
78,1725052741672.708,1725052742071.536,1,1,1
79,1725052743379.984,1725052743667.408,1,1,1
80,1725052744671.86,1725052744971.68,2,2,1
81,1725052746431.128,1725052746775.556,3,3,1
83,1725052749170.676,1725052749513.976,2,2,1
84,1725052750601.42,1725052750846.02,2,2,1
85,1725052751390.436,1725052751717.76,1,1,1
86,1725052752745.212,1725052753022.376,3,3,1
87,1725052754233.856,1725052754566.108,1,1,1
88,1725052755934.592,1725052756314.764,2,2,1
89,1725052757028.232,1725052757391.184,1,1,1
90,1725052757990.652,1725052758276.372,2,2,1
91,1725052759531.848,1725052759879.376,3,3,1
92,1725052760398.848,1725052760668.844,3,3,1
93,1725052761359.32,1725052761691.548,3,3,1
94,1725052762673.0,1725052762935.872,2,2,1
95,1725052764090.348,1725052764690.792,1,1,1
96,1725052766139.244,1725052766415.776,3,3,1
97,1725052767444.22,1725052767766.876,3,3,1
98,1725052768483.352,1725052768820.568,2,2,1
99,1725052770144.02,1725052770416.916,1,1,1
100,1725052771900.392,1725052772214.324,3,3,1
101,1725052773149.876,1725052773514.82,1,1,1
102,1725052774701.332,1725052774973.884,2,2,1
103,1725052776233.404,1725052776561.856,3,3,1
104,1725052777157.32,1725052777489.896,2,2,1
105,1725052777999.42,1725052778266.544,2,2,1
106,1725052779293.032,1725052779587.664,3,3,1
107,1725052780163.156,1725052780410.484,1,1,1
108,1725052781310.004,1725052781574.868,2,2,1
109,1725052782261.38,1725052782620.66,1,1,1
110,1725052783614.144,1725052783854.944,3,3,1
111,1725052785117.464,1725052785492.584,2,2,1
