trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725399983512.968,1725399984186.532,1,1,1
2,1725399985570.748,1725399986164.424,3,3,1
3,1725399986877.6602,1725399987246.096,1,1,1
4,1725399988345.328,1725399988751.468,3,3,1
6,1725399991213.74,1725399991575.292,2,2,1
7,1725399992111.604,1725399992469.64,2,2,1
8,1725399993962.928,1725399994410.528,2,2,1
9,1725399995906.832,1725399996210.248,1,1,1
10,1725399997086.6,1725399997628.104,2,2,1
11,1725399998960.492,1725399999332.312,2,2,1
12,1725400000309.64,1725400001057.996,3,3,1
13,1725400001972.352,1725400002479.088,2,2,1
14,1725400003139.448,1725400003660.58,2,2,1
15,1725400004959.94,1725400005400.876,3,3,1
16,1725400006650.236,1725400007050.632,2,2,1
17,1725400008379.984,1725400008624.44,1,1,1
20,1725400012313.776,1725400012811.136,1,1,1
21,1725400013669.492,1725400014424.54,1,1,1
22,1725400015270.9202,1725400016060.7122,2,2,1
23,1725400016863.14,1725400017367.036,1,1,1
24,1725400018107.388,1725400018518.292,1,1,1
25,1725400019355.68,1725400020059.788,3,3,1
26,1725400021521.14,1725400021967.812,3,3,1
27,1725400023017.144,1725400023504.988,1,1,1
28,1725400024855.348,1725400025196.62,2,2,1
29,1725400025762.976,1725400026174.756,2,2,1
30,1725400026780.116,1725400027466.04,3,3,1
31,1725400028605.428,1725400029045.84,3,3,1
32,1725400030514.196,1725400030876.044,2,2,1
33,1725400031477.396,1725400031881.84,1,1,1
34,1725400032763.216,1725400033193.876,1,1,1
36,1725400036319.236,1725400036720.808,3,3,1
37,1725400037902.176,1725400038368.5042,1,1,1
38,1725400039056.864,1725400039637.252,3,3,1
39,1725400040412.612,1725400040838.9202,1,1,1
40,1725400041357.304,1725400042126.668,3,3,1
41,1725400043609.0562,1725400044005.0042,1,1,1
42,1725400044582.356,1725400045015.62,1,1,1
43,1725400045534.976,1725400045967.696,1,1,1
44,1725400047425.052,1725400047853.12,3,3,1
45,1725400049065.48,1725400049326.592,2,2,1
46,1725400050284.94,1725400050700.636,3,3,1
47,1725400051769.0042,1725400052207.736,1,1,1
48,1725400052985.088,1725400053458.836,2,2,1
49,1725400054451.236,1725400055009.692,3,3,1
50,1725400056483.076,1725400056985.22,2,2,1
51,1725400058141.6,1725400058452.396,1,1,1
52,1725400059480.752,1725400059838.748,1,1,1
53,1725400060719.132,1725400061163.148,1,1,1
54,1725400062533.532,1725400062954.008,2,2,1
55,1725400064290.36,1725400064793.7642,3,3,1
56,1725400065792.12,1725400066348.548,2,2,1
57,1725400067146.924,1725400067517.8162,3,3,1
58,1725400068923.204,1725400069416.176,2,2,1
59,1725400070137.54,1725400070579.136,3,3,1
60,1725400071610.492,1725400072011.856,1,1,1
61,1725400073310.2122,1725400073815.0042,3,3,1
62,1725400074481.376,1725400074905.7122,3,3,1
63,1725400076237.076,1725400076727.668,3,3,1
64,1725400077239.028,1725400077632.58,3,3,1
65,1725400078443.0,1725400079062.672,2,2,1
66,1725400080554.148,1725400080969.168,1,1,1
67,1725400081899.636,1725400082371.432,3,3,1
68,1725400082884.876,1725400083420.112,1,1,1
69,1725400084219.528,1725400084602.08,3,3,1
70,1725400085131.552,1725400085828.152,1,1,1
72,1725400087569.94,1725400088220.828,2,2,1
73,1725400089207.272,1725400089553.912,3,3,1
74,1725400090711.36,1725400091362.888,2,2,1
75,1725400092810.396,1725400093195.228,1,1,1
76,1725400094193.668,1725400094554.924,1,1,1
77,1725400095245.3682,1725400095750.912,3,3,1
78,1725400097238.36,1725400097631.116,2,2,1
79,1725400098139.536,1725400098565.152,2,2,1
80,1725400099696.6,1725400100151.396,1,1,1
81,1725400101004.812,1725400101387.964,1,1,1
82,1725400102416.444,1725400102836.04,1,1,1
83,1725400103688.48,1725400104178.976,2,2,1
84,1725400104726.456,1725400105187.088,3,3,1
85,1725400106044.532,1725400106391.456,3,3,1
86,1725400106997.9,1725400107381.096,3,3,1
87,1725400108098.568,1725400108609.632,2,2,1
88,1725400109149.12,1725400109519.52,3,3,1
89,1725400110698.968,1725400111156.184,3,3,1
90,1725400112435.604,1725400112871.2122,2,2,1
91,1725400113877.636,1725400114515.668,2,2,1
92,1725400115248.144,1725400115727.204,1,1,1
93,1725400116632.644,1725400117008.912,1,1,1
94,1725400118220.356,1725400118591.848,2,2,1
95,1725400119270.328,1725400119648.884,2,2,1
96,1725400120904.336,1725400121378.096,3,3,1
97,1725400122117.544,1725400122611.3,2,2,1
98,1725400123790.752,1725400124210.064,3,3,1
100,1725400126603.324,1725400126934.248,1,1,1
101,1725400128212.8162,1725400128748.112,2,2,1
102,1725400129638.632,1725400129988.424,3,3,1
103,1725400130747.892,1725400131400.1602,2,2,1
104,1725400132367.672,1725400132808.904,1,1,1
105,1725400133899.424,1725400134305.704,2,2,1
106,1725400135537.164,1725400135872.72,1,1,1
