1724844766.000,3986616
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,5497524,6082044,2,2,1
2,7188284,7728144,2,2,1
3,8724380,9542748,2,2,1
4,10096960,10668056,2,2,1
5,11588372,12164000,1,1,1
6,13397284,13919708,3,3,1
7,14936040,15739452,2,2,1
8,16470760,16915792,2,2,1
9,18317116,18825084,1,1,1
10,19596408,20165580,1,1,1
11,20844940,21332076,1,1,1
12,22254448,22662476,1,1,1
13,23710832,24401408,2,2,1
14,25147740,25831472,1,1,1
15,26514828,27040188,1,1,1
16,27773568,28305940,3,3,1
17,29218296,30228264,1,1,1
18,31679592,32565752,3,3,1
19,33719116,34139716,2,2,1
20,35263080,35760728,2,2,1
21,36741080,37410028,1,1,1
22,37986384,38763516,2,2,1
23,40164948,40724776,2,2,1
24,41633128,42270760,3,3,1
25,43213112,43822860,3,3,1
26,44445224,45057728,3,3,1
27,46133080,46443732,3,3,1
28,47810120,48154492,3,3,1
29,49350852,49828696,3,3,1
30,50338028,50815612,3,3,1
31,52025972,52542008,3,3,1
32,53576356,54310240,1,1,1
33,55642632,56378064,3,3,1
34,57277420,57815436,3,3,1
35,58770796,59743980,2,2,1
36,61125376,61644520,3,3,1
37,62200852,62924080,2,2,1
38,63588436,64361316,3,3,1
39,65854648,66489580,1,1,1
40,67104932,68213920,2,2,1
41,69609296,70233656,1,1,1
42,71328988,71838404,3,3,1
43,72792756,73395824,1,1,1
44,74173184,74757672,1,1,1
45,75536028,76003060,1,1,1
46,77081412,77564284,1,1,1
47,78288668,79788388,3,3,1
48,81075780,81612836,3,3,1
49,82598232,83487036,2,2,1
50,84557424,85086644,1,1,1
51,85810028,87013612,2,3,0
52,87883968,88804284,1,1,1
53,89738648,90459172,3,3,1
54,91223556,91901804,2,2,1
55,92582140,93239548,1,1,1
56,93835928,94347280,3,3,1
57,95239672,95776920,2,2,1
58,96938276,97458828,1,1,1
59,98418192,99254288,2,2,1
60,99979636,100532420,1,1,1
61,101155848,101630408,2,2,1
62,102365892,102862512,3,3,1
63,103944956,104566032,1,1,1
64,105881504,106585388,3,3,1
65,107090860,107738556,1,1,1
66,108337000,109073128,3,3,1
67,110033568,110571568,1,1,1
68,111105044,111693480,2,2,1
69,112202892,112781256,3,3,1
70,113581732,114108244,2,2,1
71,115244720,115700268,2,2,1
72,116597712,117194368,1,1,1
73,118042792,118545428,1,1,1
74,119748872,120319316,3,3,1
75,120961832,121526640,3,3,1
76,122338116,123049412,1,1,1
77,124481832,125150168,3,3,1
78,126205644,126818588,1,1,1
79,128317064,129253252,3,3,1
80,129763704,130305368,1,1,1
81,131278840,131706440,3,3,1
82,132398880,133067320,2,2,1
83,133816740,134641092,3,3,1
84,135877540,136353460,3,3,1
85,137773904,138322800,3,3,1
86,139439248,140116232,2,2,1
87,141529712,141964420,2,2,1
88,142975928,143726360,1,1,1
89,144517832,145238372,3,3,1
90,145949824,146643160,3,3,1
91,147895604,148774448,2,2,1
92,149619864,150251232,3,3,1
93,150832688,151554180,2,2,1
94,152773656,153273180,2,2,1
95,154511636,155166916,3,3,1
96,156083364,156898376,1,1,1
97,157913848,158713220,2,2,1
98,159765644,160142112,3,3,1
99,161083560,161626968,1,1,1
100,162950416,163955520,2,2,1
101,164551052,165051160,3,3,1
