1724857990.000,3102384
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6614316,7261556,2,2,1
2,8047764,8631660,3,3,1
3,9348896,9810872,2,2,1
4,11198080,11538052,3,3,1
5,12082332,12642136,1,1,1
6,13473448,14035180,1,1,1
7,14687480,15287508,1,1,1
8,16219840,16765184,2,2,1
9,17688520,18264992,2,2,1
10,19495316,19933480,2,2,1
11,21205856,21666580,1,1,1
12,22386904,23139520,3,3,1
13,24504904,25069324,1,1,1
14,26358676,26912444,3,3,1
15,28409796,28917448,1,1,1
16,30079800,30385960,2,2,1
17,31173316,31793848,1,1,1
18,32449204,32945112,3,3,1
19,33674468,34243016,1,1,1
20,35710372,36884512,3,3,1
21,37932892,38748612,3,3,1
22,39469996,40164076,1,1,1
23,41225448,41982444,3,3,1
24,42643772,43258860,3,3,1
25,44229244,44986832,2,2,1
26,45956160,47005640,3,3,1
27,47586028,48263644,3,3,1
28,49540996,50392592,2,2,1
29,51155948,51708140,2,2,1
30,52921496,53792020,1,1,1
31,54416400,55099504,2,2,1
32,56178856,56613292,2,2,1
33,57389680,57760720,2,2,1
34,58671100,59447248,3,3,1
35,60445632,61402828,2,2,1
36,61970224,62776428,3,3,1
37,63700808,64101336,3,3,1
38,64959696,65322204,3,3,1
39,66321564,66819572,2,2,1
40,67655900,68284912,3,3,1
41,69009268,69521348,2,2,1
42,70276732,70987640,1,1,1
43,71590004,72167060,1,1,1
44,73590416,74025308,1,1,1
45,75158664,75457884,1,1,1
46,76161248,76680732,2,2,1
47,77780064,78404960,1,1,1
48,79066316,79462664,1,1,1
49,80861084,81388756,3,3,1
50,82764116,83072832,3,3,1
51,83801160,84552884,1,1,1
52,85391264,85894444,1,1,1
53,87280800,87672268,1,1,1
54,88193652,88557600,1,1,1
55,89556976,90571428,3,3,1
56,91343784,91777372,2,2,1
57,93008756,93440136,2,2,1
58,94557488,94933492,2,2,1
59,95752848,96210696,2,2,1
60,96893028,97581532,1,1,1
61,98465864,98844412,1,1,1
62,100020812,100918296,3,3,1
63,101504760,102428232,1,1,1
64,103687676,105097472,1,1,1
65,106553948,106905236,1,1,1
66,107878656,108235084,1,1,1
67,108928564,110636076,2,2,1
68,111831544,112256800,3,3,1
69,113246248,113583780,3,3,1
70,114551200,115105484,1,1,1
71,115842932,116637028,1,1,1
72,117746496,118113028,1,1,1
73,119461484,120466976,3,2,0
74,121968424,122844012,2,2,1
75,123836504,124454756,1,1,1
76,125718232,126885776,2,2,1
77,128322252,129048976,3,3,1
78,129587392,130156512,1,1,1
79,131491956,131972984,1,1,1
80,133246464,134532668,2,2,1
81,135345108,135771940,2,2,1
82,137211416,137585552,2,2,1
83,138235004,138553372,2,2,1
84,139865840,140210392,2,2,1
85,141495868,141700828,3,2,0
86,142930248,143615324,2,2,1
87,144597800,145134716,1,1,1
88,146632232,147206568,2,2,1
89,147730016,148450872,1,1,1
90,149583328,150081860,3,3,1
91,150649340,151244072,1,1,1
92,152185548,152923448,1,1,1
93,154369928,154871608,3,3,1
94,155805060,156338084,3,3,1
95,157826568,158376916,1,1,1
96,159768392,160202096,1,1,1
97,161042544,161617444,3,3,1
98,162808868,163370840,1,1,1
99,163898316,164304280,1,1,1
100,165297728,166254808,3,3,1
101,167361368,167709108,2,2,1
102,169063572,169593452,1,1,1
103,170607916,171130656,3,3,1
104,172317180,172859484,2,2,1
105,173724972,174171656,1,1,1
106,174712116,175104948,1,1,1
107,175734464,176587960,2,2,1
108,177251444,177802024,3,3,1
109,179246548,179566008,1,1,1
110,180154472,180684352,2,2,1
111,181569812,182137068,1,1,1
112,182814584,183322336,3,2,0
113,184295800,184717928,3,2,0
114,185512460,186122152,1,1,1
115,186633676,187198520,1,1,1
116,187716044,188368796,2,2,1
117,189674316,189951996,2,2,1
118,191444524,191955012,1,1,1
119,192756524,193355240,1,1,1
120,193875732,194266576,1,1,1
121,195676068,196271892,2,2,1
122,197141416,197729244,1,1,1
123,198767736,199364636,3,3,1
124,199908152,200248932,3,3,1
125,201460420,202382832,2,2,1
126,203126324,203609664,1,1,1
127,204465200,205361552,2,2,1
128,206020044,206476400,1,1,1
129,207731888,208346380,3,3,1
130,209457900,209969992,1,1,1
131,211195508,211710308,1,1,1
132,212813800,213541608,3,3,1
133,214062104,214550800,3,3,1
134,215887320,216397428,2,2,1
135,217123888,217776456,1,1,1
136,219062972,219521960,2,2,1
137,220041452,220592480,2,2,1
138,221904944,222158576,2,3,0
139,223613072,224092420,3,3,1
140,224781980,225128720,3,3,1
141,226243240,226910772,2,2,1
142,228380264,228889720,1,1,1
143,230111240,230782516,3,3,1
144,232143984,232653484,1,1,1
145,234135952,234687020,3,3,1
146,235804516,236223688,2,2,1
147,237178188,237710728,2,2,1
148,238661224,239279244,3,3,1
149,239943736,240320440,3,3,1
150,241511968,241935552,1,1,1
151,243184072,243661376,3,3,1
152,244721848,245046040,3,3,1
153,246459580,246811500,3,3,1
154,247923996,248579532,1,1,1
155,249999024,250525400,3,3,1
156,251130896,251513396,3,3,1
157,252249892,252752340,2,2,1
158,253474832,253888292,2,2,1
159,254728816,255213136,1,1,1
160,256400604,256739692,1,1,1
161,257306184,257957384,2,2,1
162,259216876,259792520,1,1,1
163,260330012,260824512,2,2,1
164,262181976,262787160,1,1,1
165,263594672,264148628,1,1,1
166,265584164,265898952,1,1,1
167,266413448,266759088,1,1,1
168,267835580,268423548,2,2,1
169,269329036,269853904,2,2,1
170,270789416,271236036,1,1,1
171,272736528,273357016,3,3,1
172,274805536,275145376,3,3,1
173,275752872,276999788,2,2,1
174,278465276,279048864,2,2,1
175,280007352,280517500,3,3,1
176,281784020,282233168,3,3,1
177,283439660,283967396,1,1,1
178,284756916,285389636,3,3,1
179,286136200,287271356,2,2,1
180,288185852,288643308,1,1,1
181,289402824,289845704,1,1,1
182,291134196,291758972,2,2,1
183,292599492,293181856,3,3,1
184,294314324,295023608,2,2,1
185,296509124,297046032,2,2,1
186,298239548,298672536,2,2,1
187,299462004,300056424,3,3,1
188,300689956,301557192,2,2,1
189,302674680,303168852,3,3,1
190,304231344,304697488,3,3,1
191,306192004,306682460,3,3,1
192,307656968,308545572,1,1,1
193,309345084,309956448,3,3,1
194,310689944,311188268,3,3,1
195,312248800,312697884,1,2,0
196,313667396,315009060,3,3,1
197,316195572,316812956,1,1,1
198,317679444,318608160,3,3,1
199,319737680,320823892,2,2,1
200,322027380,322462668,2,2,1
201,323553188,324220776,3,3,1
202,325527300,326242652,1,1,1
203,327513120,328040280,3,3,1
204,329116776,329466700,2,2,1
205,330922236,331438940,1,1,1
206,332645436,333176860,1,1,1
