1725023522.000,3990936
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7502884,7902820,3,3,1
2,8715032,9043296,3,3,1
3,10074508,10520652,1,1,1
4,11579988,12069292,2,2,1
5,12732608,13161744,1,1,1
6,14511080,14883284,2,1,0
7,16357596,16696148,2,2,1
8,17551432,17844588,1,1,1
9,18731920,18972552,1,1,1
10,20314900,20597116,1,1,1
11,21718504,22046572,3,2,0
12,22954924,23523212,3,3,1
13,24036572,24580736,1,1,1
14,25850064,26174364,1,2,0
15,27096744,27508600,2,3,0
16,28698960,29321412,1,1,1
17,30300788,30582772,2,1,0
18,31586160,32079264,2,3,0
19,32913620,33468148,1,1,1
20,34883500,35363440,2,2,1
21,36453768,36860588,2,2,1
22,37908948,38290236,2,2,1
23,39633632,39996976,2,2,1
24,41054304,41333864,1,1,1
25,41864216,42201796,1,1,1
26,43180124,43411964,3,3,1
27,44658320,44977360,2,2,1
28,46314712,46612164,2,1,0
29,47814512,48244632,1,1,1
30,49360996,49729048,3,2,0
31,50623400,51204708,1,1,1
32,51917036,52192960,2,1,0
33,53395312,53775300,2,2,1
34,54652680,54814004,2,2,1
35,56024356,56245920,2,2,1
36,57501320,57697804,1,2,0
37,58751132,59034724,1,1,1
38,60300100,60706752,3,2,0
39,61626136,62201588,1,1,1
40,63355924,63745412,3,3,1
41,64744776,65072568,3,3,1
42,66207928,66961488,2,2,1
43,68139868,68632352,3,3,1
44,69882704,70215892,1,1,1
45,71196272,71724952,3,3,1
46,72502316,73149164,2,2,1
47,74617520,75253724,3,3,1
48,75987088,76827908,2,2,1
49,78018324,78321832,2,2,1
50,79525184,79878832,1,1,1
51,80703188,81172628,2,3,0
52,82527012,82983744,3,3,1
53,83951108,84279448,3,3,1
54,85649804,86144428,2,2,1
55,87513808,87994808,1,2,0
56,89291200,89774708,2,2,1
57,90944068,91444400,2,2,1
58,92326780,92754712,1,1,1
59,93353044,93792372,1,1,1
60,94940760,95460376,2,3,0
61,96689764,97240452,1,1,1
62,98697884,99435884,3,3,1
63,100692248,101208076,3,3,1
64,102542524,103081420,2,2,1
65,103628836,104214524,1,1,1
66,105157972,105673560,2,2,1
67,106223008,106747544,3,3,1
68,108125988,108469600,2,2,1
69,109151076,109412464,2,2,1
70,110070904,110542304,1,1,1
71,111335728,111719088,3,3,1
72,112636528,113093916,1,3,0
73,113988392,114504732,2,2,1
74,115968176,116298980,1,1,1
75,117333460,117732820,2,2,1
76,118689272,118941296,2,2,1
77,119591740,119998920,3,3,1
78,120635368,121102456,2,2,1
79,122117920,122469944,1,1,1
80,123050368,123438360,2,2,1
81,124435808,124784700,3,3,1
82,125770144,126157848,2,2,1
83,127413288,127651328,1,1,1
84,129046748,129297148,1,1,1
85,129859592,130197648,1,1,1
86,130887120,131200204,1,1,1
87,132319644,132817276,3,2,0
88,133937764,134517728,2,2,1
89,135556176,135891416,1,1,1
90,136739864,136979656,1,1,1
91,138013132,138412620,2,3,0
92,139749064,140159556,3,3,1
93,141090980,141448148,2,2,1
94,142420616,142630980,2,2,1
95,143773448,144211380,1,1,1
96,145026820,145229072,1,1,1
97,145968520,146389180,1,1,1
98,147418660,147783852,2,2,1
99,148710324,148989188,2,2,1
100,150354664,150794464,3,1,0
101,151666000,151994656,1,1,1
102,153019176,153364200,2,2,1
103,154376692,154604520,2,2,1
104,155140040,155746852,1,3,0
105,156845312,157235560,1,1,1
106,158498024,158734180,1,1,1
107,160227668,160947688,1,1,1
108,162411176,162926496,2,2,1
109,164128992,164831372,1,1,1
110,165727884,166335480,3,3,1
111,167243976,167513292,3,3,1
112,168836816,169063356,3,2,0
113,170163872,170334340,2,3,0
114,171069872,171525220,3,3,1
115,172581732,172889664,3,3,1
116,174004152,174527696,2,1,0
117,175165212,175731304,2,2,1
118,176760796,177135964,1,1,1
119,178467452,178887384,2,2,1
120,179437848,180050856,3,3,1
121,181519380,182302368,1,2,0
122,183161860,183796484,2,1,0
123,184439980,185224464,3,3,1
124,186360960,186697144,1,1,1
125,187361608,187748780,1,1,1
126,189095244,189488724,1,1,1
127,190186252,190491416,1,1,1
128,191682908,191953812,2,1,0
129,193400340,193830492,1,1,1
130,195085980,195580336,3,2,0
131,196875836,197291944,2,2,1
132,198618436,199486728,3,3,1
133,200568224,201084432,2,2,1
134,202097896,202605688,3,3,1
135,203850208,204252640,1,1,1
136,205545132,205964068,2,2,1
137,207192588,207518004,2,2,1
138,208453520,209008884,3,3,1
139,209750380,210467360,2,2,1
140,210995888,211322224,2,2,1
141,212049720,212311412,2,2,1
