1725027437.000,3012428
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6523332,6769972,3,3,1
2,7653208,7925152,3,3,1
3,9306364,9747172,2,2,1
4,10391384,10743364,3,3,1
5,11846680,12152088,1,1,1
6,13418416,13630088,1,1,1
7,14848368,15051748,1,1,1
8,15631084,15905852,2,1,0
9,16761160,17163556,1,1,1
10,18497904,18880048,3,3,1
11,19435400,19862792,1,1,1
12,20533168,20848152,2,2,1
13,21782504,22024968,2,1,0
14,22904320,23202680,2,2,1
15,24412060,24878388,3,3,1
16,26151768,26486232,2,2,1
17,27820596,28089068,1,2,0
18,28966428,29248732,3,2,0
19,30115080,30429784,1,1,1
20,31057116,31410392,2,2,1
21,32264776,32549100,3,2,0
22,33445488,33854636,3,3,1
23,35035052,35259652,3,3,1
24,36491032,36832380,1,1,1
25,37557764,37798024,3,3,1
26,38326376,38768216,2,2,1
27,39476548,39909500,2,2,1
28,41148888,41341256,3,3,1
29,41888632,42128372,1,2,0
30,42832756,43114256,1,1,1
31,44411608,44741480,3,3,1
32,45893812,46191912,1,1,1
33,46841268,47103800,3,3,1
34,48042136,48357856,1,1,1
35,49564212,49866264,1,1,1
36,51317660,51632700,1,1,1
37,53129056,53476760,2,3,0
38,54898152,55204440,2,2,1
39,55959772,56334164,1,1,1
40,56922496,57159108,2,2,1
41,58331472,58624860,3,2,0
42,59389192,59682172,1,1,1
43,60556532,60850688,3,3,1
44,62051048,62281164,2,2,1
45,63008548,63344848,3,3,1
46,64252204,64523580,3,3,1
47,65190932,65513032,1,2,0
48,66407388,66692336,3,3,1
49,68170756,68471832,1,1,1
50,69324184,69687028,3,2,0
51,70482356,70863944,3,3,1
52,72040320,72357164,1,1,1
53,72892516,73207844,2,2,1
54,74647224,75070324,2,2,1
55,76201708,76673412,2,2,1
56,77833804,78126868,1,1,1
57,79092228,79597428,3,3,1
58,81058824,81438252,1,1,1
59,82461608,82682544,2,2,1
60,83511900,83827372,1,1,1
61,84949728,85196264,3,3,1
62,85977668,86222568,3,3,1
63,86922924,87432324,2,2,1
64,88233704,88531792,2,2,1
65,89403144,89732724,1,1,1
66,90500080,90771388,2,2,1
67,91784776,92055976,2,2,1
68,92979344,93191672,2,2,1
69,94633004,94838232,2,2,1
70,96142560,96452196,3,3,1
71,97614552,98000320,2,2,1
72,99043680,99297912,2,2,1
73,100397244,100660264,3,3,1
74,101751732,102062292,3,3,1
75,103220808,103654368,1,1,1
76,105018844,105292456,1,1,1
77,105883872,106207724,2,2,1
78,107685136,108083964,1,1,1
79,109392412,109679836,1,1,1
80,110684288,110984108,2,2,1
81,112443556,112787984,3,3,1
82,114179404,114437652,2,3,0
83,115183104,115526404,2,2,1
84,116613848,116858448,2,2,1
85,117402864,117730188,1,1,1
86,118757640,119034804,3,3,1
87,120246284,120578536,1,1,1
88,121947020,122327192,2,2,1
89,123040660,123403612,1,1,1
90,124003080,124288800,2,2,1
91,125544276,125891804,3,3,1
92,126411276,126681272,3,3,1
