1724775868.000,3297184
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,4808084,5113096,1,1,1
2,6005336,6303280,1,1,1
3,7315500,7579236,1,1,1
4,8153424,8440060,1,1,1
5,9202292,9464076,1,1,1
6,10772312,11184492,3,2,0
7,12230796,12541516,1,1,1
8,13590800,13930252,1,1,1
9,15135560,15496376,2,2,1
10,16036748,16469464,3,3,1
11,17930820,18207256,3,3,1
12,19663612,19975132,2,2,1
13,21401512,21663440,2,2,1
14,23104772,23432248,2,2,1
15,24804600,25127172,1,1,1
16,26212524,26534484,3,3,1
17,27797816,28152076,2,2,1
18,29099460,29403012,2,2,1
19,29940396,30270048,1,1,1
20,31174400,31424268,3,3,1
21,32111632,32464264,1,1,1
22,33616648,33936576,3,3,1
23,35065968,35351920,3,3,1
24,36101280,36531744,1,1,1
25,37626072,38065232,3,3,1
26,39429616,39724260,1,1,1
27,41202632,41468616,3,3,1
28,42015948,42319772,3,3,1
29,43199156,43564568,1,1,1
30,44994896,45229192,3,1,0
31,45914548,46228784,2,1,0
32,47465164,47843020,1,1,1
33,49196352,49421100,2,2,1
34,50821432,51118908,3,3,1
35,52164264,52451704,1,1,1
36,53646128,54035992,3,3,1
37,55333352,55704912,3,3,1
38,57082308,57373904,3,3,1
39,58474284,58783164,2,2,1
40,60079524,60341164,1,1,1
41,61477548,61725412,3,3,1
42,63041744,63365544,2,2,1
43,64490900,64833416,3,3,1
44,66037780,66372440,2,2,1
45,67442768,67804212,2,3,0
46,68796568,69091104,2,3,0
47,70113432,70538216,1,1,1
48,71346572,71850936,1,1,1
49,72562364,72947676,3,3,1
50,73476072,73817472,1,1,1
51,74382860,74759176,2,2,1
52,76144552,76550360,1,1,1
53,77941744,78333028,1,1,1
54,78920412,79171164,1,1,1
55,79983520,80259864,3,3,1
56,81529200,81873588,3,3,1
57,83078948,83559632,2,2,1
58,84805988,85076084,2,2,1
59,85596432,86039868,1,1,1
60,86707224,86960032,1,1,1
61,88117392,88423220,3,3,1
62,89087624,89382476,3,3,1
63,90824808,91125320,3,3,1
64,91703648,91949992,3,3,1
65,92762360,93059952,2,2,1
66,94255316,94444216,2,2,1
67,95094564,95299748,2,2,1
68,96076104,96316884,2,2,1
69,96887244,97307164,3,3,1
70,98541520,98754780,3,3,1
71,99320140,99687068,2,2,1
72,100463420,100845912,1,1,1
73,101418364,101693536,1,1,1
74,102245004,102501224,1,1,1
75,103349744,103578280,1,1,1
76,104409724,104706564,3,2,0
77,105511980,105821708,3,3,1
78,106978152,107290468,3,3,1
79,107859936,108258992,2,2,1
80,109544436,109849528,1,1,1
81,111075000,111412668,3,3,1
82,112626116,112972380,3,3,1
83,114196804,114479984,2,2,1
84,115291436,115596076,2,2,1
85,116487524,116869192,1,1,1
86,117444632,117746700,3,2,0
87,118635168,118937604,2,2,1
88,120335112,120682960,1,1,1
89,121866380,122179600,1,1,1
90,123608072,123941824,2,2,1
91,124505272,124812684,2,2,1
92,125533132,125859620,1,1,1
93,127252092,127545148,3,2,0
94,128384624,128652908,1,1,1
95,129659356,129964092,2,2,1
96,130601560,130829060,3,3,1
97,131342480,131708268,2,2,1
98,132514740,132794072,1,1,1
99,133899484,134252272,2,2,1
100,134769692,135109124,1,1,1
101,135906624,136292552,2,2,1
102,137211044,137507388,2,2,1
103,138774856,139081100,3,3,1
104,139922572,140179188,2,2,1
105,141451712,141689824,2,1,0
106,142691348,143010368,3,3,1
107,143621856,143892048,1,1,1
108,145147536,145502240,3,3,1
109,146799724,147040612,2,2,1
